,"Type",2.011,2.010,2.008,2.009,2.009,2.009,"?",,,,,,,,,,,,,
,,"IEF_2011","HDI_2010","#mobile/100c","WGI_2011va","WGI_2011npv","WGI_2011ge","TBD","GNIpc","hb","hw","hw","hw","hw","hw","hb","hw","hb","hw","hw","hb"
"SLV","EL SALVADOR","68,81055","0,65939","113,31603","50,71090","46,22642","#NAME?",,"6.498,11176","-8,56500","39,43000","0,12300","3,70000","7,21127","39,30000","3,80000","1,60000","78,35056","190,00000","15,63000","32,46071"
"GNQ","EQUATORIAL GUINEA","47,46748","0,53808","52,48810","3,31754","42,92453","#NAME?",,"22.217,60122","4,11000","100,00000","0,00000","0,00000","0,41538","60,62000","1,03000","0,00000","23,36487",,"89,50000","17,05489"
"ERI","ERITREA","36,72776","..","2,20487","0,94787","20,28302","#NAME?",,"643,41376","2,21500","34,11000","1,33947","3,50000","20,78571","79,28000","0,65000","1,10000","15,51724","350,00000","40,78000","0,82626"
"EST","ESTONIA","75,19543","0,81189","188,29806","85,30806","66,98113","#NAME?",,"17.167,68138","8,36000","13,56000","0,00007","2,60000","1,24292","30,54000","15,16000","1,70000","97,19416","180,00000","4,40000","5,63295"
"ETH","ETHIOPIA","50,46639","0,32822","2,42156","12,32227","6,13208","#NAME?",,"992,02849","14,39000","52,08000","1,59689","0,70000","4,55574","83,00000","0,24400","0,40000","0,05612","310,00000","69,43000","1000"
"FJI","FIJI","60,41487","0,66936","71,08617","21,80095","36,79245","#NAME?",,"4.315,41829","5,20000","33,36000","1,42944","11,40000","0,24518","47,64000","2,86000","8,50000","38,03650","40,00000","15,50000","1,39196"
"FIN","FINLAND","74,04463","0,87087","128,54295","97,15640","95,75472","#NAME?",,"33.871,72555","13,60000","-18,14000","0,00008","0,90000","2,31402","36,70000","20,96800","2,70000","100,00000","130,00000","2,70000","27,50933"
"FRA","FRANCE","64,59002","0,87240","93,08669","90,52133","65,56604","#NAME?",,"34.340,70587","-3,29000","11,15000","0,06202","1,90000","22,38655","22,64000","14,71200","3,00000","100,00000","110,00000","3,30000","112,55353"
"GUF","FRENCH GUIANA","#N/A","#N/A","#N/A","83,88626","56,13208","#NAME?",,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"GAB","GABON","56,72873","0,64802","89,76915","16,58768","48,58491","#NAME?",,"12.746,54579","1,15000","100,00000","0,00902","3,40000","0,07317","14,96000","5,22000","5,00000","52,87840","140,00000","57,20000","7,38623"
"GMB","GAMBIA","57,37393","0,39013","70,24069","17,06161","53,77358","#NAME?",,"1.357,68103","-7,03000","54,41000","0,49365","21,00000","1,02000","43,58000","1,20600","30,20000","60,99501","240,00000","79,90000","0,46268"
"GEO","GEORGIA","70,41301","0,69772","63,96749","42,65403","16,98113","#NAME?",,"4.901,90897","-10,67000","13,56000","0,22851","0,60000","2,78858","47,26000","12,54600","1,30000","95,20976","180,00000","26,46000","6,35179"
"DEU","GERMANY","71,78570","0,88489","128,51411","93,83886","76,88679","#NAME?",,"35.308,03538","5,25000","4,83000","0,00713","4,30000","43,97196","26,36000","16,68600","3,60000","100,00000","110,00000","3,70000","93,71921"
"GHA","GHANA","59,39221","0,46720","49,55020","60,66351","50,00000","#NAME?",,"1.385,46959","14,00000","23,29000","0,78125","0,00000","3,24092","49,98000","0,96000","0,00000","32,75862","160,00000","51,01000","8,21367"
"GRC","GREECE","60,27665","0,85491","122,80168","73,93365","41,98113","#NAME?",,"27.580,38062","-22,56000","12,98000","0,00128","4,50000","13,39655","39,00000","14,56000","5,00000","98,87767","110,00000","3,30000","26,90583"
"GRL","GREENLAND","#N/A","#N/A","99,09104","87,67773","99,52830","#NAME?",,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"GRD","GRENADA","#N/A","..","57,97099","72,98578","62,26415","#NAME?",,"7.998,26529","-12,51000","65,39000","0,74753","5,90000",,"69,16000","5,66000","4,90000",,"250,00000","13,10000","39,21534"
"GUM","GUAM","#N/A","#N/A",,"79,14692","60,84906","#NAME?",,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"GTM","GUATEMALA","61,93617","0,56004","109,22476","36,49289","21,22642","#NAME?",,"4.693,73596","-12,99000","39,43000","0,09482","2,00000","1,84066","51,42000","5,85000","0,90000","87,57305","210,00000","28,63000","18,46927"
"GIN","GUINEA","51,74130","0,34017","39,05595","9,00474","4,71698","#NAME?",,"953,45824","18,19000","54,41000","0,03167","0,20000","0,66814","65,56000","0,67000","0,10000","28,68339","130,00000","90,17000","1,79802"
"GNB","GUINEA-BISSAU","46,52597","0,28872","31,74695","33,17536","28,77358","#NAME?",,"538,08606","-3,61500","54,41000","0,09069","12,70000","1,09375","70,16000","0,68000","11,00000","25,33283","240,00000","116,57000","0,10230"
"GUY","GUYANA","49,39351","0,61113",,"51,65877","26,88679","#NAME?",,"3.302,06220","-15,52500","42,68000","1,24153","4,50000","0,68050","71,62000","3,25000","32,40000","83,30334","230,00000","46,50000","0,26083"
"HTI","HAITI","52,14099","0,40405","32,40046","29,85782","19,33962","#NAME?",,"948,99853","-4,43000","65,39000","0,49785","3,80000","7,60953","53,16000","0,61000","2,70000","18,33856","430,00000","54,36000","6,64861"
"HND","HONDURAS","58,62846","0,60416","84,85982","33,64929","33,96226","#NAME?",,"3.750,10788","-6,95500","39,43000","0,73353","4,40000","0,89650","52,12000","2,43000","2,20000","67,12721","230,00000","25,67000","3,01177"
"HKG","HONG KONG SAR, CHINA","89,68176","#N/A","165,95940","63,50711","81,60377","#NAME?",,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"HUN","HUNGARY","66,58102","0,80495","121,77659","79,62085","67,92453","#NAME?",,"17.472,11908","-1,28000","8,32000","0,01446","0,00000","127,33333","32,50000","14,41600","0,00000","100,00000","0,00000","5,40000","1000"
"ISL","ICELAND","68,19714","0,86860","107,96972","96,20853","91,98113","#NAME?",,"22.917,03042","8,30000","33,36000","0,00105","2,00000","0,08835","7,74000","21,17000","5,20000","100,00000","40,00000","1,90000","1,66444"
"IND","INDIA","54,56796","0,51914","30,42988","60,18957","13,20755","#NAME?",,"3.337,36573","11,34000","61,90000","1,66034","1,90000","51,23518","70,46000","1,96600","3,40000","50,11320","260,00000","52,30000","18,57501"
"IDN","INDONESIA","55,96968","0,59993","61,83474","47,86730","24,05660","#NAME?",,"3.956,83623","0,14500","29,78000","0,04391","14,00000","2,91684","48,54000","0,83000","10,80000","55,82259","230,00000","30,73000","2,82078"
"IRN","IRAN","42,07598","0,70220","59,75847","8,05687","8,49057","#NAME?",,"11.764,20559","-4,93000","48,09000","1,05105","1,20000","72,60700","31,54000","2,97000","2,00000","85,28774","220,00000","27,06000","16,64466"
"IRQ","IRAQ","n/a","..","57,07699","13,74408","1,88679","#NAME?",,"..","-23,71500","68,39000","0,00040","3,60000","187,50000","33,40000","2,30600","4,50000","66,70440",,"35,67000","0,00000"
"IRL","IRELAND","78,69660","0,89464","121,04450","92,41706","84,43396","#NAME?",,"33.077,57487","1,87500","8,32000","0,00106","3,80000","2,30653","38,66000","21,36000","6,00000","100,00000","110,00000","3,00000","34,90771"
"ISR","ISRAEL","68,47162","0,87236","122,89295","67,29858","9,43396","#NAME?",,"27.831,33528","-12,63500","44,93000","0,00031","7,90000","200,00000","8,34000","13,52600","3,40000","100,00000","170,00000","3,60000","517,56677"
"ITA","ITALY","60,33374","0,85427","150,99066","81,51659","64,62264","#NAME?",,"29.619,20969","-8,01500","12,31000","0,00169","3,90000","24,31233","31,92000","12,84000","3,70000","100,00000","100,00000","3,00000","74,05078"
"JAM","JAMAICA","65,68725","0,68838","101,34426","63,03318","33,01887","#NAME?",,"7.206,85192","-7,18500","65,39000","0,74840","3,90000","4,35985","46,70000","3,35000","2,10000","84,42567","170,00000","25,99000","20,03466"
"JPN","JAPAN","72,80921","0,88402","86,44600","81,04265","83,49057","#NAME?",,"34.692,45641","3,69500","9,48000","0,01847","4,40000","20,56512","33,52000","12,03000","7,50000","100,00000","210,00000","2,50000","119,59988"
